,en,ru
"Hold on, why are they separated by color in the first place?","Hold on, why are they separated by color in the first place?","Погоди, почему они разделены по цветам вообще?"
"Think of each color as of different aspect or emotional spectrum.","Think of each color as of different aspect or emotional spectrum.","Думай о каждом цвете как об отдельном аспекте или эмоциональном спектре."
"Got it.","Got it.","Понял."
"Anyway, when you'll get enough energy you may release it at once using powerful ability.","Anyway, when you'll get enough energy you may release it at once using powerful ability.","В любом случае, когда у тебя достаточно энергии, ты можешь выпустить ее всю, используя мощную способность."
"Also pay close attention to each enemy and what color are they weak to. You have limited amount of actions per turn and you may get more if you make enemy Weak by hitting their weakness.","Also pay close attention to each enemy and what color are they weak to. You have limited amount of actions per turn and you may get more if you make enemy Weak by hitting their weakness.","Еще, обращай особое внимание на каждого врага и к какому цвету они слабы. У тебя ограниченное количество действий в ход и ты можешь получить больше, если будешь ослаблять врагов, атакуя их слабости."
"You also have weakness and enemies can use it to their advantage.","You also have weakness and enemies can use it to their advantage.","У тебя тоже есть слабости и враги могут использовать их."
"I think I got the basics.","I think I got the basics.","Думаю я понял основы."
"Good. Also, enemies too gather energy and may use skills.","Good. Also, enemies too gather energy and may use skills.","Отлично. Еще, враги тоже могут собирать энергию и использовать навыки."
"Ugh, not fair!","Ugh, not fair!","Агх, не честно!"
"Maybe. If you'll want to get more info, check out the index!","Maybe. If you'll want to get more info, check out the index!","Возможно. Если захочешь узнать больше, проверь Указатель!"
"What index?","What index?","Что за Указатель?"
"I forgot you just woke up... Well then, later!","I forgot you just woke up... Well then, later!","Я забыла, что ты только встал... Что ж, потом!"
"OK! I guess I can win this!","OK! I guess I can win this!","Окей! Я полагаю я могу выиграть!"
"That's the spirit! Glad to see you like this again.","That's the spirit! Glad to see you like this again.","Верный настрой! Рада снова видеть тебя таким."
"Also don't worry about killing them, they aren't real to begin with.","Also don't worry about killing them, they aren't real to begin with.","К слову, не переживай если убьешь их, они никогда не были живыми."
"Later! Go!","Later! Go!","Потом! Вперед!"
///////////////////////////////////PROLOGUE 0 - AFTER BATTLE/////////////////,///,///
"How are you?","How are you?","Как ты?"
"Well.. Better then them...","Well.. Better then them...","Ну... Лучше чем они..."
"Great. Now let's get out of here!","Great. Now let's get out of here!","Отлично. Теперь давай уходить отсюда!"
"Okay, but not before I'll get my answers. You seem like you know more than me.","Okay, but not before I'll get my answers. You seem like you know more than me.","Окей, но не раньше чем я получу ответы. Похоже ты знаешь больше, чем я."
"And I do. And also we can talk while walking, chop-chop! Or someone might find us again.","And I do. And also we can talk while walking, chop-chop! Or someone might find us again.","И ты прав. И еще, мы можем говорить, пока идем, топ-топ! Или нас могут снова найти."
"Right.","Right.","Точно."
"Long story short - we're now not in real world. Think of this place as of simulation.","Long story short - we're now not in real world. Think of this place as of simulation.","Короче - мы не в реальном мире. Думай об этом месте, будто это симуляция."
"Already figured it after talking with Host.","Already figured it after talking with Host.","Уже понял это после разговора с Заведующим."
"Oh so you too met him?","Oh so you too met him?","О, так ты тоже встретил его?"
"Yes. But I don't seem to remember the details about our conversation. Just what I need to do.","Yes. But I don't seem to remember the details about our conversation. Just what I need to do.","Да. Но видимо я не могу вспомнить детали нашего разговора. Только то, что мне нужно сделать."
"Same for me. I guess Maksud won't tell us much too if we'll find him.","Same for me. I guess Maksud won't tell us much too if we'll find him.","То же самое. Я полагаю Максуд тоже нам не расскажет много чего, если мы найдем его."
"Wait, Maksud is here?! W-where?","Wait, Maksud is here?! W-where?","Погоди, Максуд тут?! Г-где?"
"Defenetly not on this floor.","Defenetly not on this floor.","Явно не на этом этаже."
"Floor?","Floor?","Этаже?"
"Yes. This place is made up of different floors, and we are now on the floor zero.","Yes. This place is made up of different floors, and we are now on the floor zero.","Да. Это место построено из разных этажей, мы сейчас на нулевом."
"Okay...","Okay...","Окей..."
"You're alright?","You're alright?","Ты в порядке?"
"Yeah it's just... I'm happy Maksud is here...","Yeah it's just... I'm happy Maksud is here...","Да, просто... Я рад, что Максуд тут..."
"You don't seem very happy. Wanna talk about it?","You don't seem very happy. Wanna talk about it?","Ты не выглядишь особо обрадованным. Хочешь поговорить об этом?"
"Not now... Maybe later, but thanks.","Not now... Maybe later, but thanks.","Не сейчас... Может позже, но спасибо."
"Right...","Right...","Хорошо..."
"Sorry, you may continue talking, just... how do you know all of this?","Sorry, you may continue talking, just... how do you know all of this?","Прости, можешь продолжать, просто... Как ты вообще знаешь это все?"
"Let's say I've been here before.","Let's say I've been here before.","Скажем так, я была тут раньше."
"Or to put it in better words - I've got here before you. Around a day ago. But time is strange here so I'm not sure.","Or to put it in better words - I've got here before you. Around a day ago. But time is strange here so I'm not sure.","Или вернее сказать - я попала сюда раньше тебя. Около дня назад. Но время странно работает здесь, я не уверена."
"You know, maybe I got here at the same time as you, but you just were sleeping all this time.","You know, maybe I got here at the same time as you, but you just were sleeping all this time.","Знаешь, может мы попали сюда одновременно, просто ты спал все время."
"Sorry...","Sorry...","Прости..."
"Don't be, it's not your fault you've slept all this time! About that... How's your head?","Don't be, it's not your fault you've slept all this time! About that... How's your head?","Не извиняйся, это не твоя вина! Об этом... Как твоя голова?"
"I don't know... I feel like I missed some of my memories, mostly unimportant ones... and the ones about the details of past few days...","I don't know... I feel like I missed some of my memories, mostly unimportant ones... and the ones about the details of past few days...","Не знаю... Ощущение, будто я потерял некоторые свои воспоминания, в основном не особо важные... и те с деталями о последних нескольких днях..."
"Well, I guess I missed a few too. For example, I have no idea about the curse you were talking about.","Well, I guess I missed a few too. For example, I have no idea about the curse you were talking about.","Ну, видимо я тоже потеряла некоторые. Например, у меня нет понятия об этом проклятии."
"Really? That's kind of an important information.","Really? That's kind of an important information.","Серьезно? Это в неком смысле важная информация."
"Yeah, so will you be so kind to tell me?","Yeah, so will you be so kind to tell me?","Да, поэтому будешь добр посвятить меня?"
"Of course if you're comfortable.","Of course if you're comfortable.","Естественно, если тебе комфортно."
"I am. Just... Guess there's no point hiding it. I am cursed. And it's best not to be around me.","I am. Just... Guess there's no point hiding it. I am cursed. And it's best not to be around me.","Мне нормально. Просто... Думаю нет смысла скрывать. Я проклят. Лучше не находиться рядом со мной."
"Why?","Why?","Почему?"
"I don't know... Or don't remember... All I know is that cursed ones like me can spread it and it affects lifes...","I don't know... Or don't remember... All I know is that cursed ones like me can spread it and it affects lifes...","Я не знаю... Или не помню... Все, что я знаю - проклятые как я могут распространять проклятие и оно затрагивает жизни..."
"Okay. I'm sorry about this.","Okay. I'm sorry about this.","Окей. Мне жаль."
"Huh? That's all?","Huh? That's all?","Хах? Это все?"
"Well, I remembered something, still not like I care about this curse. You seem fine to me.","Well, I remembered something, still not like I care about this curse. You seem fine to me.","Ну, я вспомнила кое-что, все еще не то чтобы мне есть дело до этого проклятия. Ты кажешься нормальным мне."
"But...","But...","Но..."
"Sh-h-h. Listen: we are in kind of simulation. Curses can't spread here anyway.","Sh-h-h. Listen: we are in kind of simulation. Curses can't spread here anyway.","Ш-ш-ш. Послушай: мы в типа симуляции. Проклятия не могут здесь распространяться."
"I guess it's true...","I guess it's true...","Полагаю это верно..."
"And I guess it's time to tell you what I learned about this place. It might help.","And I guess it's time to tell you what I learned about this place. It might help.","И я полагаю время рассказать тебе, что я узнала об этом месте. Может поможет."
"As I mentioned before - I can't fight here to help you. I am not allowed by Host to fight alongside you, but I am allowed to do everything else, so I'll figure how to help you...","As I mentioned before - I can't fight here to help you. I am not allowed by Host to fight alongside you, but I am allowed to do everything else, so I'll figure how to help you...","Как я сказала ранее - я не могу сражаться здесь, чтобы помочь тебе. Мне не позволено Заведующим сражаться вместе с тобой, но я могу делать что угодно еще, поэтому я придумаю как помочь тебе..."
"You will have to fight your way up to the fifth floor and find Maksud along the way.","You will have to fight your way up to the fifth floor and find Maksud along the way.","Тебе придется пробить себе путь до пятого этажа и найти Максуда по пути."
"After all we've got here after...","After all we've got here after...","В конце концов мы попали сюда после..."
"...our fight with him...","...our fight with him...","...нашей с ним ссоры..."
"Yes...","Yes...","Да..."
"I see. So this place is here to help us reconcile or what?","I see. So this place is here to help us reconcile or what?","Понял. Так это место существует, чтобы помочь нам помириться или что?"
"I guess. I was given access to any floor that you were on, to help you.","I guess. I was given access to any floor that you were on, to help you.","Полагаю да. Мне был дан доступ в любым этажам, на которых ты был, чтобы помочь тебе."
"And Maksud?","And Maksud?","А Максуд?"
"I don't know. I didn't find him, but I know he's here on the upper floors.","I don't know. I didn't find him, but I know he's here on the upper floors.","Я не знаю. Я не нашла его, но я знаю, что он на верхних этажах."
"Okay... Let me think about this...","Okay... Let me think about this...","Окей... Дай мне переварить это..."
"I know that's a lot to take in...","I know that's a lot to take in...","Я знаю это много всего сразу..."
"A little bit...","A little bit...","Немного да..."
"Not like you have to do this.","Not like you have to do this.","Не то чтобы ты обязан это делать."
"Oh no, it's him!","Oh no, it's him!","О нет, это он!"
"I'm not here to hurt you, prisoners of the Reflection.","I'm not here to hurt you, prisoners of the Reflection.","Я здесь не чтобы навредить вам, пленники Отражения."
"I'm here to merely observe. And maybe to guide you to an easier solution of your problems.","I'm here to merely observe. And maybe to guide you to an easier solution of your problems.","Я здесь лишь чтобы наблюдать. И направить вас к более легкому решению проблем."
"For example...?","For example...?","Например...?"
"For example - to stay.","For example - to stay.","Например - остаться."
"It's a heavy burden to be responsible for the lives of your friends.","It's a heavy burden to be responsible for the lives of your friends.","Ноша быть ответственным за жизни твоих друзей весьма тяжела."
"If you still consider them as such.","If you still consider them as such.","Если ты еще считаешь их друзьями."
"Shut up!","Shut up!","Завались!"
"But to stay here is not as bad of an option.","But to stay here is not as bad of an option.","Но остаться тут не такая уж и плохая опция."
"The path ahead will lead you to the truth. And truth will hurt.","The path ahead will lead you to the truth. And truth will hurt.","Дорога впереди ведет к истине. И она явно ранит."
"So here's the solution - don't go. Why trouble yourself with that?","So here's the solution - don't go. Why trouble yourself with that?","Так вот решение - не идти. Зачем мучать себя этим?"
"You can stay here. And live in peace, not having to worry about things.","You can stay here. And live in peace, not having to worry about things.","Вы можете остаться здесь. Жить в мире, не беспокоиться ни о чем."
"But, aren't we prisoners here...?","But, aren't we prisoners here...?","Но разве мы тут не заключенные...?"
"Yes. But isn't the prison a right place for the likes of you?","Yes. But isn't the prison a right place for the likes of you?","Да. Но разве тюрьма не подходящее место для таких как ты?"
"Leave us alone! Why are you here?","Leave us alone! Why are you here?","Оставь нас в покое! Почему ты здесь?"
"To welcome the main lead of course. After all, he is my worst enemy and my greatest friend.","To welcome the main lead of course. After all, he is my worst enemy and my greatest friend.","Чтобы встретить главного, конечно же. В конце концов, он мой злейший враг и мой дражайший друг."
"Salim...","Salim...","Салим..."
"You can go further. And I hope you'll understand how meaningless it is.","You can go further. And I hope you'll understand how meaningless it is.","Ты можешь пройти дальше. И я надеюсь ты поймешь как это бессмысленно."
"Since to get out, you'll have to make me let you out.","Since to get out, you'll have to make me let you out.","Так как чтобы выбраться отсюда, тебе придется убедить меня выпустить тебя."
"And I will never allow that.","And I will never allow that.","И я никогда этого не позволю."
"He's gone...","He's gone...","Он ушел..."
"Yes...","Yes...","Да..."
"I hope you didn't listen to him. He's not important!","I hope you didn't listen to him. He's not important!","Я надеюсьты не слушал его. Он не важен!"
"But... What if he's right?","But... What if he's right?","Но... Что если он прав?"
"And what if he's not?","And what if he's not?","И что если нет?"
"...I don't know...","...I don't know...","...Я не знаю..."
"*sigh* Okay you know what? Let's make a deal.","*sigh* Okay you know what? Let's make a deal.","*вздох* Окей, знаешь что? Давай заключим сделку."
"I'll help you get to the truth, and we'll discover it both. In the end it's up to you what you will do.","I'll help you get to the truth, and we'll discover it both. In the end it's up to you what you will do.","Я помогу тебе найти истину, и мы оба ее узнаем. В конце что делать - твой выбор."
"But please, at least try. You shouldn't give up without trying...","But please, at least try. You shouldn't give up without trying...","Но пожалуйста, хотя бы попытайся. Ты не должен сдаваться сразу..."
"Not for my sake. But for yours.","Not for my sake. But for yours.","Не ради меня. А ради себя."
"Huh... You sound like a Host.","Huh... You sound like a Host.","Хах... Ты звучишь как Заведующий."
"But I will try. Don't worry. And thank you.","But I will try. Don't worry. And thank you.","Но я попробую. Не переживай. И спасибо."
"You're welcome. I am your friend after all.","You're welcome. I am your friend after all.","Всегда пожалуйста. В конце концов, я твоя подруга."
"Don't forget it, okay?","Don't forget it, okay?","Не забывай об этом, хорошо?"
"Okay...","Okay...","Окей..."
"I am still lost, but... At least I know I can trust you.","I am still lost, but... At least I know I can trust you.","Я все еще запутан, но... По крайней мере я знаю, я могу довериться тебе."
"Right. Oh, look, the door is here!","Right. Oh, look, the door is here!","Верно. О, смотри, дверь тут!"
"The door?","The door?","Дверь?"
"Yeah, it leads to the room you'll be resting. And I guess you'll wake up here in case you'll be knocked off...","Yeah, it leads to the room you'll be resting. And I guess you'll wake up here in case you'll be knocked off...","Да, она ведет к комнате, где ты будешь отдыхать. И я полагаю где ты проснешься, когда тебя вырубят..."
"Well... Great... I hope it won't be too often...","Well... Great... I hope it won't be too often...","Ну... Прекрасно... Надеюсь это не будет происходить слишком часто..."
"How do you know it?","How do you know it?","Как ты это знаешь?"
"Oh! I almost forgot!","Oh! I almost forgot!","О! Я почти забыла!"
"Reach into your pocket and get the index out of there.","Reach into your pocket and get the index out of there.","Поищи в кармане и достань оттуда Указатель."
"Inde-- What?! How is it here?","Inde-- What?! How is it here?","Указ-- Что?! Как он оказался тут?"
"Don't know but I got one and there are some basic information about everything, but also we can add info.","Don't know but I got one and there are some basic information about everything, but also we can add info.","Не знаю, но я получила тако и здесь записана базовая информация обо всем, но мы также можем добавить записи."
"Let me see... Looks like the index is shared between both of us, since we've met.","Let me see... Looks like the index is shared between both of us, since we've met.","Дай-ка глянуть... Похоже Указатель разделен между нами с тех пор, как мы встретились."
"It says Maksud is connected to the Network, but we can't see his index, while we hadn't reached him...","It says Maksud is connected to the Network, but we can't see his index, while we hadn't reached him...","Тут говорится, что Максуд в Сети, но мы не можем увидеть его Указатель, пока не найдем его..."
"Yeah...","Yeah...","Да..."
"Anyway, Salim. I'll go the other way through this maze to find out more about things.","Anyway, Salim. I'll go the other way through this maze to find out more about things.","В любом случае, Салим. Я пойду в другую сторону через этот лабиринт, чтобы изучить побольше."
"Right. And I will go inside and begin my ascend to upper floors.","Right. And I will go inside and begin my ascend to upper floors.","Верно. И я пойду внутрь и начну подниматься по этажам."
"Yes. I hope you'll be fine if I'll drop by your room?","Yes. I hope you'll be fine if I'll drop by your room?","Ага. Я надеюсь ты не против, если я буду заглядывать к тебе в комнату?"
"Of course!","Of course!","Конечно!"
"Great! Good luck!","Great! Good luck!","Отлично! Удачи!"
"To you too!","To you too!","Тебе тоже!"
///////////////////////////////////FLOOR 1/////////////////,///,///
///////////////////////////////////FLOOR 1 - BEFORE BATTLE WITH GATEKEEPER/////////////////,///,///
"Index says it's the final room of the floor.","Index says it's the final room of the floor.","Судя по Указателю, это последняя комната на этаже."
"I finally made it here after all...","I finally made it here after all...","Все-таки я наконец добрался сюда..."
"Don't be afraid. I won't harm you unless you want to get past the gates.","Don't be afraid. I won't harm you unless you want to get past the gates.","Не бойся. Я не трону тебя, разве что ты хочешь пройти через врата."
"Actually...","Actually...","Вообще-то..."
"Ugh, what a nuance. Looks like you really want to go up, after all.","Ugh, what a nuance. Looks like you really want to go up, after all.","Агх, проблема. Похоже ты все-таки реально хочешь подняться наверх."
"Yeah, sorry. Who are you?","Yeah, sorry. Who are you?","Ага, прошу прощения. Кто ты?"
"I am gatekeeper.","I am gatekeeper.","Я привратник."
"I got it, but what's your name?","I got it, but what's your name?","Я понял это, но как тебя звать?"
"Call me Gatekeeper.","Call me Gatekeeper.","Зови меня Привратником."
"My name is of no importance. All I am is just what I am doing.","My name is of no importance. All I am is just what I am doing.","Мое имя не важно. Я это лишь то, чем я занимаюсь."
"Guarding the gates from you.","Guarding the gates from you.","Сторожу врата от тебя."
"Why are you doing this?","Why are you doing this?","Зачем ты это делаешь?"
"Curious one, aren't you?","Curious one, aren't you?","Ты любопытный, не так ли?"
"Looks like you still wish to understand the world around. I thought you'll be more like me.","Looks like you still wish to understand the world around. I thought you'll be more like me.","Похоже ты все еще хочешь понять мир. Я думал ты будешь больше как я."
"It's a shame, I've been given the wrong intel.","It's a shame, I've been given the wrong intel.","Жаль, мне дали ложную информацию."
"What intel? Why were you expecting to be... like you? Whaterver this means....","What intel? Why were you expecting to be... like you? Whaterver this means....","Какая информация? Почему ты ожидал, что я буду... как ты? Что бы это ни значило..."
"Intel about your past. Looks like Host did a good job picking you up.","Intel about your past. Looks like Host did a good job picking you up.","Информация о твоем прошлом. Похоже Заведующий справился с тем, чтобы поднять твой дух."
"You might not remember, but you were different. A slothful person, tired of it all.","You might not remember, but you were different. A slothful person, tired of it all.","Ты можешь не помнить, но ты был иным. Ленивый человек, уставший от всего."
"I hoped you'd still be the same person when I meet you. At least I wouldn't have to work.","I hoped you'd still be the same person when I meet you. At least I wouldn't have to work.","Я надеялся ты все еще будешь таким же при нашей встрече. Так мне не пришлось бы работать."
"Maybe I was like this... But I decided to begin to change.","Maybe I was like this... But I decided to begin to change.","Может я и был таким... Но я решил начать меняться."
"To change? Ha-ha-ha!","To change? Ha-ha-ha!","Меняться? Ха-ха-ха!"
"You and "change"... The mere idea to change your life is impossible.","You and "change"... The mere idea to change your life is impossible.","Ты и 'изменения'... Сама идея изменить твою жизнь невозможна."
"No matter how hard you try, you'll be kicked down into yet another cycle.","No matter how hard you try, you'll be kicked down into yet another cycle.","Как бы ты не пытался, ты будешь отброшен в очередной цикл."
"Cycle?","Cycle?","Цикл?"
"The neverending one. And when you think you're about to break free from it, it morphs, bringing you back to darkness.","The neverending one. And when you think you're about to break free from it, it morphs, bringing you back to darkness.","Нескончаемый цикл. И когда ты думаешь о том, что вот-вот ты освободишься от него, он меняется, возвращая тебя во тьму."
"Remember it... As the days go on... and on... and on... And you repeat the same things as you did before.","Remember it... As the days go on... and on... and on... And you repeat the same things as you did before.","Вспомни... Как дни идут... и идут... и идут... И ты повторяешь все то же, что раньше."
"Remember...","Remember...","Вспомни..."
"Right...","Right...","Верно..."
"The day begins, and I wake up.","The day begins, and I wake up.","День начинается, и я просыпаюсь."
"The things I don't really want to do, but I have to...","The things I don't really want to do, but I have to...","Вещи, которые я не особо хочу делать, но нужно..."
"Well, it will end soon, I just have to wait a bit. Soon I'll be free from classes!","Well, it will end soon, I just have to wait a bit. Soon I'll be free from classes!","Ну, это скоро закончится, мне нужно просто еще подождать. Скоро я буду свободен от занятий!"
"It's just a bit of studying, and then I'll work on my project and chill, great.","It's just a bit of studying, and then I'll work on my project and chill, great.","Просто немного поучиться и затем я смогу работать над своим проектом и расслабиться, отлично."
"'Have you checked the news? It's a bit disturbing...'","'Have you checked the news? It's a bit disturbing...'","'Ты читал новости? Они немного тревожные...'"
"'You're talking about that murder of a cursed person...?'","'You're talking about that murder of a cursed person...?'","'Ты говоришь об убийстве проклятого...?'"
"'Yeah... The guy got what was coming for him, but still... It's so brutal...'","'Yeah... The guy got what was coming for him, but still... It's so brutal...'","'Да... Парень конечно получил по заслугам, но все еще...'"
"Better not to think about this too much.","Better not to think about this too much.","Лучше не думать об этом слишком много."
"Try not to think.","Try not to think.","Попытайся не думать."
"What time is it? Huh?!","What time is it? Huh?!","Сколько времени уже? А?!"
"I spent an hour just reading socials... I should stop...","I spent an hour just reading socials... I should stop...","Я потратил час только на чтение соцсетей... Нужно остановиться..."
"I am a bit anxious...","I am a bit anxious...","Мне тревожно..."
"Forget about it. Don't think. I am tired, so...","Forget about it. Don't think. I am tired, so...","Забудь об этом. Не думай. Я устал так что..."
"Well, it will end soon, I just have to wait a bit.","Well, it will end soon, I just have to wait a bit.","Ну, это скоро закончится, мне нужно просто еще подождать."
"'You've seen the last news? This show is coming to a close...'","'You've seen the last news? This show is coming to a close...'","'Читали последние новости? Этот сериал закрывают...'"
"'It's not that bad of a news actually. I've stopped watching it when they put a cursed character in it.'","'It's not that bad of a news actually. I've stopped watching it when they put a cursed character in it.'","'Не такие уж и плохие новости. Я прекратил его смотреть, когда они засунули туда персонажа-проклятого.'"
"'Yeah, but I still was a fan of a show... It's something you can just ignore.'","'Yeah, but I still was a fan of a show... It's something you can just ignore.'","'Да, но сериал все еще был веселым... Это не что-то, что можно просто игнорировать.'"
"I just have to wait untill the classes are done.","I just have to wait untill the classes are done.","Просто нужно подождать до конца занятий."
"Oh, it's midnight already? I spent too much time procastinating....","Oh, it's midnight already? I spent too much time procastinating....","О, уже полночь? Я потратил слишком много времени прокастинируя..."
"At least I did something today... I'm just gonna check the news.","At least I did something today... I'm just gonna check the news.","По крайней мере сегодня я сделал что-то... Надо глянуть новости."
"Don't think about it.","Don't think about it.","Не думай об этом."
"Well, it will end soon, I just have to wait a bit...","Well, it will end soon, I just have to wait a bit...","Ну, это скоро закончится, мне нужно просто еще подождать..."
"Soon it will get bette-","Soon it will get bette-","Скоро все станет луч-"
"The news are just the same...","The news are just the same...","Новости все те же..."
"Will it even get better for me?","Will it even get better for me?","Станет ли вообще лучше?"
"The day begins, and I have to wake up...","The day begins, and I have to wake up...","День начинается и мне приходится вставать..."
"Soon...","Soon...","Скоро..."
"It will never change?","It will never change?","Ничего никогда не изменится?"
"The day begins...","The day begins...","День начинается..."
"It just repeats...","It just repeats...","Все повторяется..."
"The day begins... again...","The day begins... again...","День начинается... снова..."
"I don't want to go today... Just one day, I'll call sick.","I don't want to go today... Just one day, I'll call sick.","Не хочу никуда идти... Лишь один день, скажу, что заболел."
"Is it noon already? How much I slept?","Is it noon already? How much I slept?","Уже полдень? Как долго я спал?"
"I remembered...","I remembered...","Я вспомнил..."
"No... I always remembered...","No... I always remembered...","Нет... Я всегда помнил..."
"I just hoped it would change, but since I got there nothing changed.","I just hoped it would change, but since I got there nothing changed.","Я просто надеялся измениться, но с тех пор, как я попал сюда, ничего не изменилось."
"I am still in cycle. Repeating all again and again.","I am still in cycle. Repeating all again and again.","Я все еще живу в цикле. Повторяя все снова и снова."
"Waking up, doing things I don't really want to, but have to, and living in a world that's not for me.","Waking up, doing things I don't really want to, but have to, and living in a world that's not for me.","Просыпаясь, делая то, что не особо хочу делать, но вынужден, и живя в мире, где мне нет места."
"Is it all there is to my life?","Is it all there is to my life?","Неужели это вся моя жизнь?"
"To wake up, waste a day and to not change a thing?","To wake up, waste a day and to not change a thing?","Просыпаться, тратить день впустую и ничего не менять?"
"To be a parasite, unable to do anything.","To be a parasite, unable to do anything.","Быть паразитом, что не может ничего сделать."
"To be afraid of the world...","To be afraid of the world...","Бояться мира..."
"It repeats...","It repeats...","Все повторяется..."
"My memories... There is more...","My memories... There is more...","Мои воспоминания... Есть еще что-то..."
"How's your project?","How's your project?","Как твой проект?"
"I don't know... I'm kinda got tired of it all...","I don't know... I'm kinda got tired of it all...","Не знаю... Я как-то устал от всего этого..."
"I just wait for uni to end, it's so boring...","I just wait for uni to end, it's so boring...","Просто жду, пока универ кончится, это так скучно..."
"Oh, I get it, ugh...","Oh, I get it, ugh...","О, понимаю, эх..."
"But, I believe you can do this!","But, I believe you can do this!","Но я верю ты сможешь все сделать!"
"I mean, you just have to do something else for now and then go back to work.","I mean, you just have to do something else for now and then go back to work.","Как бы, тебе просто нужно заняться чем-нибудь другим сейчас и потом вернуться к работе."
"Maybe...","Maybe...","Возможно..."
"I'm actually a bit bored of my classes too... A waste of time...","I'm actually a bit bored of my classes too... A waste of time...","На самом деле я тоже устал от своих занятий... Трата времени..."
"Huh, seems like it's universal thing!","Huh, seems like it's universal thing!","Хах, похоже это общее у всех!"
"Yeah. Anyway, have you seen this show?","Yeah. Anyway, have you seen this show?","Ага. К слову, ты смотрел этот сериал?"
"Wasn't it closed? I overheard my classmates talking about it one day.","Wasn't it closed? I overheard my classmates talking about it one day.","Разве его не закрыли? Я слышал мои одногруппники говорили о нем один день."
"Yeah, fortunately they decided to make a final season and not just cut it!","Yeah, fortunately they decided to make a final season and not just cut it!","Да, но к счастью они решили сделать последний сезон, а не просто прекратить съемки."
"It's really good, you should watch it!","It's really good, you should watch it!","Он действительно хорош, тебе стоит посмотреть его!"
"Maybe I'll give it a try, tho I heard there is some bad character writing...","Maybe I'll give it a try, tho I heard there is some bad character writing...","Может я посмотрю, хотя я слышал там плохо прописывают персонажей..."
"Don't know, it's great!","Don't know, it's great!","Не знаю, здесь все прекрасно!"
"Oh, look, who's finally here!","Oh, look, who's finally here!","О, посмотри кто наконец-то явилась!"
"Sorry guys! I ran out of luck and all lights were red on my way here...","Sorry guys! I ran out of luck and all lights were red on my way here...","Простите, ребята! У меня будто кончилась вся удача и все светофоры по пути были красными..."
"But! I brought new tabletop game as promised!","But! I brought new tabletop game as promised!","Но! Как я и обещала, я принесла новую настолку!"
"Great!","Great!","Прекрасно!"
"Let me see!","Let me see!","Дайте взглянуть!"
"I see.","I see.","Я понял."
"How could I be so stupid? How did I miss this?","How could I be so stupid? How did I miss this?","Как я мог быть таким глупцом? Как я упустил это?"
"You remembered it seems...","You remembered it seems...","Видимо ты вспомнил..."
"Do you still wish to struggle?","Do you still wish to struggle?","Ты все еще хочешь продолжать борьбу?"
"Yes.","Yes.","Да."
"It all repeats... Nothing gets better on a global scale...","It all repeats... Nothing gets better on a global scale...","Все повторяется... Ничего не становится лучше глобально..."
"I am forced to wake up again and again, to do what I don't want.","I am forced to wake up again and again, to do what I don't want.","Я вынужден просыпаться снова и снова, чтобы делать то, что я не хочу."
"Even here it's all the same.","Even here it's all the same.","Даже здесь, все так же."
"And I got swayed by it all, to the point where I stopped trying.","And I got swayed by it all, to the point where I stopped trying.","И меня унесло из-за этого, так что я перестал пытаться."
"Because there is no point in trying.","Because there is no point in trying.","Потому что нет смысла пытаться."
"Or so I thought. But after getting here I decided to try once again.","Or so I thought. But after getting here I decided to try once again.","Или я так считал. Но когда я попал сюда, я решил попробовать снова."
"And long ago I tried alone, to change my life and focused on all the wrong things.","And long ago I tried alone, to change my life and focused on all the wrong things.","И давным давно я пробовал изменить свою жизнь один и думал не о тех вещах."
"It will repeat. My life, my days.","It will repeat. My life, my days.","Все повторится. Моя жизнь, мои дни."
"But I will make it so that in this reapetition will be a place for things that bring me joy.","But I will make it so that in this reapetition will be a place for things that bring me joy.","Но я сделаю так, чтобы в этом повторении было место вещам, которые приносят мне радость."
"And I will make sure that even so I'll change at least something every time.","And I will make sure that even so I'll change at least something every time.","И я удостоверюсь в том, что раз на то пошло, я с каждым разом буду менть хоть что-то."
"There is nothing that can't be changed, even if we all live in cycles.","There is nothing that can't be changed, even if we all live in cycles.","Нет ничего, что нельзя изменить, даже если мы все живем в циклах."
"I see...","I see...","Понятно..."
"I'm sorry... But I can't let you go...","I'm sorry... But I can't let you go...","Мне жаль... Но я не могу пропустить тебя..."
"My job is to make you repeat it all again and again. Until you break.","My job is to make you repeat it all again and again. Until you break.","Моя работа заключается в том, чтобы заставить тебя повторять все снова и снова. Пока ты не сломаешься."
"I have a feeling I will repeat it anyway. But even so, I will not let it break me this time!","I have a feeling I will repeat it anyway. But even so, I will not let it break me this time!","Я чувствую, что я повторю все в любом случае. Но даже так, я не повзолю этому сломить меня на этот раз!"
"I will live in my own cycle, by my rules from now on!","I will live in my own cycle, by my rules from now on!","С этого момента я буду жить в своем цикле, со своими правилами!"
"Bring it on!","Bring it on!","Нападай!"
///////////////////////////////////FLOOR 1 - AFTER BATTLE WITH GATEKEEPER/////////////////,///,///
"You may go... But remember...","You may go... But remember...","Ты можешь идти... Но помни..."
"You will return here... And I will be awaiting you again...","You will return here... And I will be awaiting you again...","Ты вернешься... И я буду ждать тебя снова..."
"And I will beat you once again. I love that repetition!","And I will beat you once again. I love that repetition!","И я снова одержу верх. Мне нравится это повторение!"
